Epoch	Train EM	Train F1	Dev EM	Dev F1
0	15.519907228449942	19.006571318129215	20.920721476510067	23.824244966442954
1	21.117421426659927	24.849320567333805	23.63674496644295	26.2351090604027
2	24.690018138027416	28.53991852754894	27.87332214765101	30.225671140939635
3	27.559394606166933	31.338274211292976	30.484479865771814	33.07686661073828
4	30.0318158841545	33.954833338288836	32.91736577181208	35.51405201342286
5	31.830751390086526	35.814694775653095	34.87835570469799	37.452076342281934
6	33.29814754244595	37.30033302607678	36.18917785234899	38.87300755033559
7	34.26749130266718	38.43385566887635	37.038590604026844	39.82046979865779
8	35.128304243109035	39.21047545419356	38.391359060402685	41.138003355704775
9	36.40837322708216	40.495822306799745	39.366610738255034	42.102348993288615
10	36.98224852071006	41.217017037851264	39.7126677852349	42.425545302013454
11	37.68844221105528	41.95654307038079	40.37332214765101	43.09385486577184
12	38.37976866581428	42.65210668728179	40.81375838926174	43.4988464765101
13	39.13651095715262	43.4918081531913	41.21224832214765	43.9503984899329
14	39.90960720763581	44.18051797448703	10.360738255033556	13.593225671140829
15	40.070173351966936	44.3726621272034	33.68288590604027	36.472525167785285
16	40.54741161428444	44.88510600338913	39.68120805369127	42.4630872483222
17	41.34429544170557	45.78622401950489	41.7890100671141	44.49580536912756
18	42.23930302399572	46.62451309803364	42.77474832214765	45.50283137583897
19	42.47123189914067	46.89756474681017	43.17323825503356	45.94955956375842
20	43.24581487318248	47.66896613243643	43.445889261744966	46.30306208053696
21	45.20382979988701	49.620632749545635	2.139261744966443	4.431312919463071
22	44.75781273230056	49.22932710891637	24.45469798657718	27.23898909395975
23	44.888644405459246	49.41000862299559	36.64010067114094	39.309878355704775
24	45.31533406678363	49.81765335553412	41.872902684563755	44.68414429530207
25	47.60488834706075	52.136689363978576	1.2479026845637584	3.604131711409405
26	46.665279058011954	51.15979304807949	21.109479865771814	24.82812500000005
27	46.198447860604794	50.607133299633475	35.49706375838927	38.231229026845696
28	45.831227141625284	50.34228836490051	41.90436241610738	44.670406879194694
29	45.486307276025094	49.980702328208196	43.917785234899334	46.5673238255034
30	45.8460943772115	50.38593856858158	44.76719798657718	47.56113674496649
31	45.59335137224584	50.180681514078366	45.66904362416108	48.56501677852354
32	45.65579376170795	50.20833457226874	46.04656040268457	48.89335151006712
33	49.91079658648271	54.459412446848674	1.5625	4.083787751677841
34	49.295293033213404	53.80121019297559	21.906459731543624	25.90677432885912
35	49.04998364604086	53.5588593856847	36.61912751677852	39.44064597315443
36	48.58612589575094	53.10878356278339	42.61744966442953	45.36650587248327
37	48.189170705599	52.72801879218461	44.87206375838927	47.782508389261785
38	48.23674585947489	52.80804912134525	45.82634228187919	48.809039429530245
39	47.60340162350213	52.259106181795524	46.42407718120805	49.570679530201424
40	52.459040765959976	56.84767030418271	1.2164429530201342	3.8856963087248335
41	51.23844072433171	55.758570961314355	21.96937919463087	26.180159395973224
42	50.8712200053522	55.43095655793642	37.05956375838927	39.84207214765108
43	50.193274062620794	54.75699503434234	43.80243288590604	46.496958892617485
44	49.756177336386074	54.33733757545015	45.5746644295302	48.45794882550342
